date,q_total,q_market,q_mining,q_nonmining_market,q_pubadm,q_edu,q_health,q_dwellings
2004-12-01,377765.0,273627.0,33575.0,240052.0,21010.0,21074.0,21986.0,40068.0
2005-03-01,380328.0,276353.0,34796.0,241557.0,20721.0,21152.0,21642.0,40460.0
2005-06-01,386544.0,281320.0,36218.0,245102.0,20995.0,21216.0,22230.0,40783.0
2005-09-01,387253.0,281424.0,35390.0,246034.0,21178.0,21261.0,22364.0,41026.0
2005-12-01,389468.0,283376.0,35839.0,247537.0,20845.0,21324.0,22673.0,41250.0
2006-03-01,391369.0,285102.0,34466.0,250636.0,20629.0,21412.0,22804.0,41422.0
2006-06-01,394082.0,286925.0,35131.0,251794.0,21353.0,21528.0,22732.0,41544.0
2006-09-01,398040.0,289281.0,38119.0,251162.0,22425.0,21658.0,23045.0,41631.0
2006-12-01,404099.0,296052.0,38193.0,257859.0,21730.0,21788.0,22816.0,41713.0
2007-03-01,409448.0,300670.0,38330.0,262340.0,21927.0,21930.0,23125.0,41796.0
2007-06-01,410686.0,301251.0,38902.0,262349.0,21957.0,22082.0,23515.0,41881.0
2007-09-01,415723.0,305636.0,39114.0,266522.0,21994.0,22228.0,23916.0,41949.0
2007-12-01,417511.0,306506.0,39198.0,267308.0,22241.0,22358.0,24298.0,42108.0
2008-03-01,422978.0,310837.0,39781.0,271056.0,22381.0,22482.0,24936.0,42342.0
2008-06-01,427935.0,315499.0,40016.0,275483.0,21903.0,22601.0,25276.0,42656.0
2008-09-01,431443.0,316861.0,40581.0,276280.0,23008.0,22831.0,25695.0,43048.0
2008-12-01,430767.0,315086.0,40888.0,274198.0,23245.0,23073.0,25992.0,43371.0
2009-03-01,428706.0,311913.0,41600.0,270313.0,23635.0,23333.0,26227.0,43598.0
2009-06-01,430617.0,312716.0,41326.0,271390.0,24007.0,23551.0,26616.0,43727.0
2009-09-01,434452.0,316800.0,43267.0,273533.0,23241.0,23613.0,27066.0,43732.0
2009-12-01,438947.0,320475.0,43499.0,276976.0,23245.0,23791.0,27594.0,43842.0
2010-03-01,442775.0,323528.0,45173.0,278355.0,23785.0,23924.0,27514.0,44024.0
2010-06-01,446148.0,326252.0,45622.0,280630.0,23949.0,24012.0,27652.0,44283.0
2010-09-01,446461.0,326415.0,45854.0,280561.0,23941.0,23994.0,27482.0,44629.0
