DATAFLOW,MEASURE,DATA_ITEM,EXP_IMP,TSEST,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,UNIT_MULT,OBS_STATUS,OBS_COMMENT
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,1990-Q2,6765,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,1990-Q3,6608,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,1990-Q4,6441,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,1991-Q1,7390,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,1991-Q2,7708,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,1991-Q3,7594,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,1991-Q4,7259,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,1992-Q1,7608,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,1992-Q2,7976,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,1992-Q3,7824,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,1992-Q4,7794,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,1993-Q1,7897,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,1993-Q2,8252,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,1993-Q3,7919,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,1993-Q4,8634,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,1994-Q1,7522,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,1994-Q2,7621,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,1994-Q3,8337,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,1994-Q4,8416,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,1995-Q1,8208,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,1995-Q2,8202,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,1995-Q3,8432,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,1995-Q4,8324,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,1996-Q1,8321,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,1996-Q2,8763,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,1996-Q3,8287,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,1996-Q4,8895,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,1997-Q1,8971,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,1997-Q2,9257,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,1997-Q3,10042,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,1997-Q4,9880,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,1998-Q1,9422,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,1998-Q2,10012,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,1998-Q3,10260,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,1998-Q4,10310,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,1999-Q1,9959,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,1999-Q2,10146,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,1999-Q3,10825,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,1999-Q4,10521,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,2000-Q1,10326,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,2000-Q2,11144,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,2000-Q3,12011,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,2000-Q4,11426,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,2001-Q1,11195,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,2001-Q2,12056,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,2001-Q3,12164,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,2001-Q4,11383,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,2002-Q1,12331,AUD,6,,
