DATAFLOW,MEASURE,ASGS_2016,LABOURACCT_IND,TSEST,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,UNIT_MULT,OBS_STATUS,OBS_COMMENT,DECIMALS
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2005-Q2,89.349184021454,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2005-Q3,91.247849819744,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2005-Q4,98.183154711442,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2006-Q1,105.376866133343,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2006-Q2,105.681430149031,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2006-Q3,109.122453854768,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2006-Q4,108.715794605425,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2007-Q1,106.539979677374,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2007-Q2,112.666607186827,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2007-Q3,115.839336644464,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2007-Q4,115.620385774342,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2008-Q1,117.622268732906,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2008-Q2,122.235133133808,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2008-Q3,132.158337385847,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2008-Q4,139.22409926171,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2009-Q1,139.229882929392,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2009-Q2,136.073213421231,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2009-Q3,131.323598107759,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2009-Q4,133.330847409152,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2010-Q1,140.204177093519,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2010-Q2,142.166771474534,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2010-Q3,142.583531348372,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2010-Q4,146.321092387203,NUM,3,,,1
